DATE	NTD/USD	JPY/USD	CNY/USD	KRW/USD	TAIEX	RANDOM
2006-01-02	32.818	0.008494	0.1239	0.001001	6462.06	7.3049317556
2006-01-03	32.645	0.008496	0.1239	0.001003	6591.77	16.2665007391
2006-01-04	32.34	0.008493	0.124	0.001008	6616.44	59.8490691636
2006-01-05	32.016	0.008526	0.124	0.001016	6709.87	52.9551047341
2006-01-06	32.198	0.008613	0.124	0.001023	6694.82	23.0883170255
2006-01-09	31.952	0.00874	0.124	0.001063	6742.39	36.4946777735
2006-01-10	32.021	0.008757	0.1241	0.001034	6707.4	89.3669714073
2006-01-11	32.07	0.008737	0.1241	0.001031	6735.89	5.8210617158
2006-01-12	31.88	0.00874	0.124	0.00103	6725.61	24.8713764217
2006-01-13	31.995	0.008768	0.124	0.001039	6682.35	21.7691876972
2006-01-16	31.927	0.008762	0.1241	0.001055	6724.18	9.8346485568
2006-01-17	31.999	0.008715	0.124	0.001033	6711.04	3.0815326883
2006-01-18	32.125	0.008682	0.124	0.001025	6498.92	19.9901046732
2006-01-19	32.14	0.008669	0.124	0.00102	6512.29	3.9730280904
2006-01-20	32.125	0.008678	0.124	0.001027	6486.63	5.4303085766
2006-01-23	31.983	0.008677	0.1242	0.001031	6381.97	70.2577501045
2006-01-24	31.98	0.008718	0.1241	0.001034	6451.94	0.7506483816
2006-01-25	31.97	0.008728	0.1241	0.001037	6532.18	3.7563822996
2006-02-03	32.094	0.008452	0.124	0.001043	6594.6	10.9579946824
2006-02-06	32.095	0.008412	0.1242	0.001078	6719.96	8.8789841274
2006-02-07	32.231	0.00842	0.1241	0.001053	6720.08	0.1644866993
2006-02-08	32.35	0.00844	0.1241	0.001049	6624.11	20.0367924676
2006-02-09	32.42	0.008464	0.1242	0.001043	6630.13	19.9346292832
2006-02-10	32.267	0.008435	0.1242	0.001048	6594.92	21.8869909022
2006-02-13	32.374	0.008488	0.1244	0.00104	6562.29	11.6965572117
2006-02-14	32.3	0.008485	0.1243	0.001037	6612.97	11.543994276
2006-02-15	32.352	0.008515	0.1243	0.001043	6598.49	31.2879132171
2006-02-16	32.401	0.008504	0.1242	0.00104	6683.93	0.5942183396
2006-02-17	32.39	0.008481	0.1243	0.001039	6673.75	50.1258660779
2006-02-20	32.4	0.008472	0.1244	0.001085	6686.55	5.3064414171
2006-02-21	32.483	0.008463	0.1243	0.001051	6631.51	26.2211425635
2006-02-22	32.646	0.008431	0.1243	0.001046	6530.7	4.5570883126
2006-02-23	32.57	0.008429	0.1243	0.001038	6474.69	1.882633767
2006-02-24	32.492	0.008501	0.1243	0.001046	6538.22	51.1488319198
2006-02-27	32.455	0.008559	0.1245	0.001044	6561.63	18.7931995859
2006-03-01	32.283	0.008608	0.1244	0.001046	6613.39	11.1156228827
2006-03-02	32.31	0.008629	0.1245	0.001046	6642.96	0.1177552702
2006-03-03	32.401	0.008611	0.1245	0.001048	6553.66	7.168063131
2006-03-06	32.473	0.008593	0.1246	0.001044	6575.78	36.6111004281
2006-03-07	32.529	0.00855	0.1245	0.001038	6494.15	44.4397432245
2006-03-08	32.53	0.008498	0.1244	0.001032	6459.57	11.2197973211
2006-03-09	32.523	0.008493	0.1243	0.001033	6486.47	4.0721374776
2006-03-10	32.513	0.008494	0.1243	0.001032	6490.68	27.111875124
2006-03-13	32.5	0.00841	0.1243	0.001033	6544.63	26.7224959598
2006-03-14	32.434	0.008408	0.1243	0.001036	6460.01	38.6303985807
2006-03-15	32.4	0.008454	0.1243	0.001039	6518.7	45.0871663018
2006-03-16	32.445	0.008511	0.1244	0.001041	6504.98	79.5754959446
2006-03-17	32.43	0.008516	0.1244	0.00104	6528.57	49.2833400894
2006-03-20	32.421	0.00863	0.1247	0.00106	6516.52	3.384391477
2006-03-21	32.501	0.008612	0.1246	0.001069	6458.03	57.6926977122
2006-03-22	32.557	0.008574	0.1246	0.001048	6391.26	23.2136589556
2006-03-23	32.578	0.00854	0.1247	0.00104	6364.6	0.8093251609
2006-03-24	32.669	0.008539	0.1246	0.001042	6376.62	13.6113854071
2006-03-27	32.57	0.008517	0.1247	0.00104	6421.85	29.9840069227
2006-03-28	32.577	0.008559	0.1248	0.001037	6453.85	73.701179514
2006-03-29	32.598	0.008557	0.1248	0.001038	6498.03	14.0440185593
2006-03-30	32.537	0.008485	0.1247	0.001038	6546.06	24.9458567095
2006-03-31	32.46	0.008506	0.1248	0.001041	6613.97	2.5857388163
2006-04-03	32.586	0.008494	0.1249	0.001041	6660.76	21.3439492112
2006-04-04	32.472	0.008467	0.1248	0.001049	6665.6	21.0487307457
2006-04-05	32.329	0.008502	0.1249	0.001053	6760.82	61.4544338196
2006-04-07	32.328	0.008506	0.125	0.001062	6781.94	37.9338183065
2006-04-10	32.405	0.008457	0.125	0.001062	6780.64	12.550766327
2006-04-11	32.446	0.008456	0.1251	0.001062	6757.17	28.4538931573
2006-04-12	32.532	0.00844	0.125	0.001061	6808.5	5.7012264441
2006-04-13	32.498	0.008458	0.125	0.001054	6855.74	18.8383123227
2006-04-14	32.481	0.00844	0.1249	0.001052	6952.54	39.9475476849
2006-04-17	32.46	0.008429	0.1249	0.001052	7000.09	15.879165823
2006-04-18	32.486	0.008467	0.1249	0.001062	6989.46	23.0952112045
2006-04-19	32.408	0.00849	0.1248	0.001069	7038.78	0.5512868205
2006-04-20	32.311	0.008534	0.1249	0.001072	7102.74	6.8550887227
2006-04-21	32.309	0.008508	0.1249	0.001068	7093.05	4.166943922
2006-04-24	31.992	0.008583	0.1249	0.001101	7096.04	28.5165321342
2006-04-25	31.993	0.008676	0.1249	0.001078	7059.94	63.1675582416
2006-04-26	32.052	0.008723	0.125	0.001073	7168.98	7.9477476228
2006-04-27	31.923	0.008699	0.1249	0.001071	7136.21	0.2839269479
2006-04-28	31.913	0.008729	0.1249	0.001073	7171.77	4.6415025709
2006-05-02	31.786	0.008831	0.1249	0.001079	7199.6	36.1738110253
2006-05-03	31.627	0.008808	0.1249	0.001081	7242.37	4.2788488841
2006-05-04	31.689	0.008821	0.1249	0.001082	7345.04	1.6502892388
2006-05-05	31.646	0.008791	0.1249	0.001078	7370.44	42.9199681239
2006-05-08	31.38	0.008889	0.1249	0.001076	7474.05	66.7179036126
2006-05-09	31.497	0.008961	0.125	0.001107	7388.94	14.9101902951
2006-05-10	31.338	0.008968	0.1251	0.001087	7324.71	65.8848210852
2006-05-11	31.46	0.009029	0.1251	0.001089	7361.45	43.9055656885
2006-05-12	31.398	0.009016	0.1251	0.001084	7278.96	0.308987054
2006-05-15	31.648	0.009093	0.1251	0.001112	7176.35	60.1577505853
2006-05-16	31.82	0.009098	0.1251	0.001073	7069.9	76.9285098683
2006-05-17	31.574	0.009074	0.1251	0.001074	7116.83	40.3184443363
2006-05-18	31.853	0.009117	0.1251	0.00108	7034.03	49.9338530856
2006-05-19	31.948	0.009024	0.125	0.001072	7074.15	56.7384982639
2006-05-22	32.146	0.008957	0.1248	0.001072	6938.26	5.6805827274
2006-05-23	31.992	0.008924	0.1248	0.001066	6843.98	27.2009351857
2006-05-24	32.012	0.008977	0.1248	0.001071	6877.01	73.0997652812
2006-05-25	32.112	0.008911	0.1248	0.001067	6861.65	4.7808470915
2006-05-26	32.038	0.008894	0.1248	0.001085	6879.51	1.9552660209
2006-05-29	32.038	0.00888	0.1248	0.001066	6878.88	52.1535710995
2006-05-30	32.019	0.008898	0.1248	0.00108	6846.95	1.1251042885
2006-06-01	32.11	0.008917	0.1248	0.001071	6872.84	9.1540462709
2006-06-02	32.08	0.008872	0.1248	0.001071	6959.64	15.6110239081
2006-06-05	32.049	0.008954	0.1248	0.001114	6715.27	51.3975247558
2006-06-06	32.062	0.008953	0.1248	0.001071	6730.27	26.9965496698
2006-06-07	32.22	0.008883	0.1249	0.00107	6612.74	12.9203308741
2006-06-08	32.513	0.008828	0.1249	0.001067	6331.81	6.8478341974
2006-06-09	32.45	0.008783	0.1249	0.001064	6444.63	58.9707607947
2006-06-12	32.543	0.008775	0.125	0.001095	6442.9	85.4697476438
2006-06-13	32.66	0.008757	0.1249	0.001057	6337.21	3.4851677903
2006-06-14	32.62	0.008721	0.1249	0.001052	6469.01	5.7852535181
2006-06-15	32.541	0.008692	0.1251	0.001055	6426.39	41.4493999583
2006-06-16	32.48	0.0087	0.1251	0.001056	6575.77	3.1154406127
2006-06-19	32.598	0.008685	0.1252	0.001065	6583.04	12.6849395877
2006-06-20	32.596	0.00866	0.1251	0.001052	6363.55	20.0053049819
2006-06-21	32.625	0.008686	0.1251	0.001056	6299.59	63.2910953862
2006-06-22	32.638	0.008712	0.1251	0.001061	6485.15	50.653809077
2006-06-23	32.716	0.008675	0.1252	0.001059	6452.31	19.3781062357
2006-06-26	32.729	0.008584	0.1252	0.001094	6523.68	0.8389418977
2006-06-27	32.664	0.008595	0.1251	0.00106	6572.39	20.1194015839
2006-06-28	32.655	0.008606	0.1252	0.001056	6540.93	26.0427910198
2006-06-29	32.62	0.0086	0.1252	0.001055	6607.39	52.8873353214
2006-06-30	32.399	0.008598	0.1252	0.001056	6704.41	0.4161613473
2006-07-03	32.31	0.008742	0.1253	0.001068	6718.5	18.8838461085
2006-07-04	32.248	0.008728	0.1252	0.001076	6734.51	55.0384161203
2006-07-05	32.39	0.008728	0.1252	0.001074	6659.96	4.0491282235
2006-07-06	32.459	0.008687	0.1252	0.001065	6659.07	0.2238000199
2006-07-07	32.397	0.008663	0.1252	0.001067	6660.61	24.333676514
2006-07-10	32.347	0.008773	0.1254	0.001086	6682.46	58.0813355393
2006-07-11	32.455	0.008782	0.1253	0.001072	6639.13	34.1440019441
2006-07-12	32.487	0.008755	0.1253	0.001072	6634.09	3.1127499718
2006-07-13	32.576	0.008712	0.1253	0.001067	6567.6	33.4277818124
2006-07-14	32.687	0.008672	0.1253	0.001065	6428.03	2.287941795
2006-07-17	32.86	0.008616	0.1252	0.001096	6257.8	66.5974727329
2006-07-18	32.866	0.008571	0.1252	0.00107	6285.31	46.0122040827
2006-07-19	32.897	0.008541	0.1252	0.001056	6277.24	7.8043830958
2006-07-20	32.74	0.008525	0.1251	0.001057	6443.74	5.8966356413
2006-07-21	32.75	0.008562	0.1253	0.001064	6420.01	7.0747014752
2006-07-24	32.855	0.00861	0.1254	0.001068	6359.63	8.4261951122
2006-07-25	32.8	0.008579	0.1254	0.001063	6390.99	2.0914302371
2006-07-26	32.849	0.008559	0.1253	0.001062	6376.39	3.4993875491
2006-07-27	32.756	0.008554	0.1254	0.001064	6459.25	65.0369209372
2006-07-28	32.795	0.008626	0.1255	0.001064	6480.07	19.0612009973
2006-07-31	32.756	0.008723	0.1256	0.001064	6454.58	38.9379677581
2006-08-01	32.818	0.008734	0.1256	0.001061	6441.46	35.829228514
2006-08-02	32.864	0.008718	0.1256	0.001064	6471.42	28.9829609149
2006-08-03	32.865	0.008734	0.1256	0.001057	6462.32	7.8520352561
2006-08-04	32.869	0.008708	0.1255	0.001049	6442.61	19.2038343783
2006-08-07	32.803	0.008742	0.1255	0.001093	6416.61	38.8661101388
2006-08-08	32.816	0.008722	0.1257	0.001071	6502.14	15.2206620432
2006-08-09	32.777	0.00869	0.1256	0.00107	6573.22	40.7939585099
2006-08-10	32.586	0.008673	0.1255	0.001055	6578.61	84.8954124612
2006-08-11	32.644	0.008683	0.1256	0.001056	6571.1	41.1773695715
2006-08-14	32.745	0.008601	0.1255	0.001074	6611.9	38.8218408797
2006-08-15	32.756	0.00859	0.1254	0.001049	6615.13	8.560338108
2006-08-16	32.749	0.008592	0.1252	0.001071	6696.63	21.5921083913
2006-08-17	32.627	0.008622	0.1254	0.001052	6733.46	18.4367485832
2006-08-18	32.667	0.008649	0.1255	0.001058	6721.08	1.0806233875
2006-08-21	32.69	0.00864	0.1255	0.001052	6505.92	31.8106616651
2006-08-22	32.76	0.008643	0.1257	0.00106	6590.2	16.8423756327
2006-08-23	32.779	0.008603	0.1257	0.001057	6556.33	29.0778278339
2006-08-24	32.845	0.008593	0.1256	0.001058	6550.64	0.9532253257
2006-08-25	32.888	0.008592	0.1256	0.001054	6526.22	8.929285862
2006-08-28	32.918	0.00853	0.1255	0.001052	6444.76	1.8071080523
2006-08-29	32.88	0.008538	0.1256	0.00105	6479.91	2.9523065591
2006-08-30	32.91	0.008557	0.1258	0.001073	6587.12	7.0089964222
2006-08-31	32.906	0.008553	0.1258	0.001057	6611.77	29.6250155271
2006-09-01	32.884	0.008531	0.1259	0.001054	6651.46	19.4885768442
2006-09-04	32.749	0.008544	0.1259	0.001056	6750.78	14.6044369389
2006-09-05	32.77	0.008592	0.1261	0.001057	6734.73	23.0836971849
2006-09-06	32.812	0.008628	0.1261	0.001058	6688.4	1.0608159872
2006-09-07	32.86	0.008591	0.126	0.001056	6685.23	43.6347944645
2006-09-08	32.88	0.008582	0.126	0.001059	6693.11	8.9834519561
2006-09-11	32.92	0.008555	0.126	0.001059	6693.88	10.4676688736
2006-09-12	32.914	0.008537	0.1259	0.001059	6625.73	3.1157572282
2006-09-13	32.897	0.008499	0.126	0.001055	6664.87	38.6025579664
2006-09-14	32.915	0.008494	0.126	0.001056	6598.87	44.0911296663
2006-09-15	32.936	0.008508	0.126	0.001057	6681.09	28.4320900303
2006-09-18	32.93	0.008514	0.126	0.001056	6882.48	4.6193094344
2006-09-19	32.906	0.008482	0.126	0.00106	6881.87	70.9748159382
2006-09-20	32.909	0.008495	0.1262	0.00106	6877.77	2.5225324523
2006-09-21	32.895	0.008522	0.1263	0.001066	6889.89	32.2485160437
2006-09-22	32.94	0.008548	0.1264	0.001074	6885.6	45.9299883065
2006-09-25	32.939	0.008584	0.1265	0.00109	6911.21	3.741756101
2006-09-26	32.94	0.008587	0.1264	0.00107	6901.75	49.8780119592
2006-09-27	32.958	0.008576	0.1265	0.001071	6946.27	26.1267864714
2006-09-28	32.992	0.008532	0.1267	0.001074	6885.12	55.8791640254
2006-09-29	33.098	0.008503	0.1268	0.001071	6883.05	20.4239708465
2006-10-02	33.127	0.008466	0.1266	0.001069	6960.95	28.3926707219
2006-10-03	33.055	0.008472	0.1266	0.001071	6956.88	49.6119750445
2006-10-04	33.12	0.008495	0.1266	0.001073	6874.98	5.6162505342
2006-10-05	33.093	0.008473	0.1266	0.00107	6997.24	44.4988489768
2006-10-11	33.29	0.008379	0.1267	0.001056	7006.67	16.1936628064
2006-10-12	33.239	0.008361	0.1265	0.001055	6984.58	5.5237495379
2006-10-13	33.13	0.008364	0.1265	0.001058	7068.8	22.0864631618
2006-10-14	33.174	0.008373	0.1267	0.001058	7076.85	18.4418980711
2006-10-16	33.234	0.008363	0.1267	0.001055	7151.42	29.3184390665
2006-10-17	33.158	0.008374	0.1266	0.001063	7075.13	0.9787303196
2006-10-18	33.18	0.008411	0.1266	0.001061	7017.6	23.2355911641
2006-10-19	33.199	0.008422	0.1266	0.00106	6995.83	69.6274580093
2006-10-20	33.202	0.008429	0.1266	0.001061	7039.37	19.9110237559
2006-10-23	33.276	0.008426	0.1267	0.001056	7040.26	8.7968267966
2006-10-24	33.308	0.008404	0.1268	0.001057	7097.42	33.4835067248
2006-10-25	33.316	0.008376	0.1267	0.001056	7059.89	32.8431603824
2006-10-26	33.265	0.00839	0.1267	0.001082	7080.84	66.9148021775
2006-10-27	33.28	0.008421	0.1268	0.001074	7086.74	62.5156133436
2006-10-30	33.221	0.008507	0.1269	0.001071	6995.2	5.3131704403
2006-10-31	33.26	0.008516	0.1271	0.001071	7021.32	2.3559317388
2006-11-01	33.167	0.008513	0.1271	0.001077	7013.99	62.8513596922
2006-11-02	33.045	0.008551	0.1272	0.001079	7078.1	68.2667791441
2006-11-03	32.92	0.008539	0.1272	0.0011	7161.61	23.1009125188
2006-11-06	32.95	0.008477	0.1272	0.001079	7120.44	17.6451165436
2006-11-07	32.84	0.008462	0.1271	0.001075	7184.65	21.6424851154
2006-11-08	32.869	0.008485	0.1271	0.001085	7178.34	57.4115856656
2006-11-09	32.87	0.008499	0.1273	0.001083	7151.13	57.3168058402
2006-11-10	32.819	0.008479	0.1273	0.001083	7174.2	31.7335737759
2006-11-13	32.736	0.008506	0.1273	0.001083	7136.06	65.1598742716
2006-11-14	32.765	0.008501	0.1273	0.001083	7204.04	16.0764457409
2006-11-15	32.813	0.008495	0.1273	0.001081	7236.85	76.2082835703
2006-11-16	32.843	0.008485	0.1273	0.001075	7257.48	10.5553115759
2006-11-17	32.934	0.008473	0.1272	0.001079	7259.54	36.7910338057
2006-11-20	32.936	0.008495	0.1272	0.001082	7261.48	12.7704350717
2006-11-21	32.873	0.008477	0.1272	0.001082	7309.69	43.9371552103
2006-11-22	32.812	0.008472	0.1272	0.001082	7348.77	12.0917392256
2006-11-23	32.79	0.008522	0.1273	0.001088	7384.69	80.9429842444
2006-11-24	32.833	0.008586	0.1274	0.00109	7427.36	7.4453141103
2006-11-27	32.704	0.008633	0.1275	0.001124	7498.15	10.7406663192
2006-11-28	32.675	0.008628	0.1277	0.001088	7444.94	17.4725686551
2006-11-29	32.5	0.008613	0.1276	0.001089	7474.19	1.4069816758
2006-11-30	32.432	0.008617	0.1278	0.001085	7567.72	8.060140766
2006-12-01	32.37	0.008612	0.1278	0.00109	7613.57	13.8459353866
2006-12-04	32.398	0.008667	0.1279	0.00109	7647.01	3.9326833233
2006-12-05	32.304	0.00866	0.1279	0.001093	7609.9	5.762265929
2006-12-06	32.297	0.008691	0.128	0.001097	7693.33	63.8118786365
2006-12-07	32.3	0.008702	0.128	0.001125	7686.52	71.5137642353
2006-12-08	32.39	0.00869	0.1278	0.001107	7636.3	12.1687631796
2006-12-11	32.49	0.008598	0.128	0.001099	7612.12	2.9691434124
2006-12-12	32.489	0.008567	0.1279	0.001097	7458.56	26.5268157505
2006-12-13	32.522	0.008554	0.1279	0.001097	7450.3	3.689678581
2006-12-14	32.557	0.008543	0.128	0.001095	7480.41	34.055211344
2006-12-15	32.587	0.008508	0.128	0.001099	7538.82	30.43469937
2006-12-18	32.6	0.008466	0.1279	0.001133	7624.62	17.760641202
2006-12-19	32.744	0.008475	0.128	0.001091	7598.88	79.1354972025
2006-12-20	32.617	0.008472	0.128	0.00109	7648.35	13.2172619081
2006-12-21	32.553	0.008464	0.1281	0.001091	7620.94	32.9370432944
2006-12-22	32.565	0.00845	0.1281	0.001091	7652.47	11.9640012544
2006-12-25	32.61	0.008417	0.1281	0.001085	7646.81	0.8287201024
2006-12-26	32.65	0.008419	0.1281	0.001085	7727.59	53.6612407871
2006-12-27	32.699	0.00841	0.1281	0.001084	7733.18	62.9190311386
2006-12-28	32.66	0.008419	0.128	0.001091	7732.93	15.1487721423
2006-12-29	32.596	0.008418	0.1281	0.001091	7823.72	49.6471675326
2007-01-02	32.403	0.0084231806				
2007-01-03	32.407	0.0083773142				
2007-01-04	32.55	0.0084495142				
2007-01-05	32.609	0.0084309923				
2007-01-08	32.676	0.0084068937				
2007-01-09	32.69	0.0083857442				
2007-01-10	32.759	0.008355615				
2007-01-11	32.774	0.0082953131				
2007-01-12	32.76	0.008312552				
2007-01-15	32.757	0.0083015109				
2007-01-16	32.775	0.0082843178				
2007-01-17	32.792	0.0082767754				
2007-01-18	32.792	0.0082487833				
2007-01-19	32.81	0.0082501444				
2007-01-22	32.92	0.0082169269				
2007-01-23	32.947	0.0082236842				
2007-01-24	32.807	0.0082939371				
2007-01-25	32.849	0.0082338411				
2007-01-26	32.938	0.0082297753				
2007-01-29	32.97	0.008211529				
2007-01-30	32.973	0.008228421				
2007-01-31	32.949	0.0082808877				
2007-02-01	32.864	0.0082856906				
2007-02-02	32.916	0.0082569565				
2007-02-05	32.917	0.0083180835				
2007-02-06	32.968	0.0083166999				
2007-02-07	32.995	0.0082774605				
2007-02-08	33.01	0.0082460625				
2007-02-09	32.971	0.0082182774				
2007-02-12	33.024	0.0082351972				
2007-02-13	33.081	0.0082474227				
2007-02-14	32.99	0.0083277815				
2007-02-15	32.908	0.0083787181				
2007-02-16	32.993	0.0083752094				
2007-02-26	32.974	0.0083028894				
2007-02-27	32.95	0.0084416681				
2007-03-01	32.91	0.0084961767				
