date,估多概率,估空概率,振荡概率
2017-01-03,0.4232155680656433,0.0901464894413948,0.4866379201412201
2017-01-04,0.06729797273874283,0.15496565401554108,0.7777364253997803
2017-01-05,0.25638604164123535,0.4833521246910095,0.26026180386543274
2017-01-06,0.21665231883525848,0.002675907453522086,0.7806717157363892
2017-01-09,0.4183875620365143,0.002277115359902382,0.5793352723121643
2017-01-10,0.6533594727516174,0.020540298894047737,0.32610026001930237
2017-01-11,0.5876473188400269,0.30849647521972656,0.103856161236763
2017-01-12,0.5292807221412659,0.386480450630188,0.08423879742622375
2017-01-13,0.9385525584220886,0.0063690016977488995,0.055078499019145966
2017-01-16,0.9092792272567749,0.0014031236059963703,0.08931761980056763
2017-01-17,0.9953768253326416,0.0002286714006913826,0.004394543822854757
2017-01-18,0.993812084197998,0.0009948763763532043,0.005192974582314491
2017-01-19,0.9947327375411987,2.4258602934423834e-05,0.005242977757006884
2017-01-20,0.9996576309204102,7.10691938365926e-06,0.00033529597567394376
2017-01-23,0.9988390803337097,4.864119182457216e-05,0.0011123494477942586
2017-01-24,0.9998140931129456,3.0162656912580132e-05,0.00015571253607049584
2017-01-25,0.9967188239097595,8.755195449339226e-05,0.0031935814768075943
2017-01-26,0.9906080961227417,0.0008631115197204053,0.008528757840394974
2017-02-03,0.180906280875206,0.00502167921513319,0.8140720725059509
2017-02-06,0.003675737651064992,0.04835119843482971,0.9479730725288391
2017-02-07,0.02997557446360588,0.02769528701901436,0.9423292279243469
2017-02-08,0.009005027823150158,0.24001389741897583,0.7509810924530029
2017-02-09,0.0009876020485535264,0.950815737247467,0.04819665849208832
2017-02-10,0.0010942969238385558,0.9388447403907776,0.060060836374759674
2017-02-13,0.0006815565866418183,0.3844497501850128,0.614868700504303
2017-02-14,0.0001217146564158611,0.8601248860359192,0.13975341618061066
2017-02-15,0.000179642069269903,0.3115118741989136,0.6883085370063782
2017-02-16,9.744041744852439e-05,0.6743234992027283,0.32557907700538635
2017-02-17,0.00023375551973003894,0.9774779081344604,0.022288374602794647
2017-02-20,0.003215428441762924,0.9615302085876465,0.035254351794719696
2017-02-21,0.0012627160176634789,0.9961665272712708,0.0025706924498081207
2017-02-22,0.0007207838352769613,0.9987154006958008,0.0005638440488837659
2017-02-23,0.0017579093109816313,0.9922967553138733,0.005945246666669846
2017-02-24,0.00028445327188819647,0.5152859687805176,0.48442959785461426
2017-02-27,0.000298071070574224,0.6270365715026855,0.3726653456687927
2017-02-28,0.000865988724399358,0.6698809266090393,0.3292531669139862
2017-03-01,0.0025880609173327684,0.3429112136363983,0.6545007228851318
2017-03-02,0.00017911940813064575,0.9926691055297852,0.007151730824261904
2017-03-03,0.001209581969305873,0.01001543365418911,0.9887750148773193
2017-03-06,0.0037284386344254017,0.02585015445947647,0.9704214334487915
2017-03-07,0.03654037043452263,0.10243213921785355,0.8610274195671082
2017-03-08,0.014633353799581528,0.020132940262556076,0.9652337431907654
2017-03-09,0.05117180198431015,0.006890922784805298,0.941937267780304
2017-03-10,0.1517324000597,0.005540790967643261,0.8427268266677856
2017-03-13,0.21693727374076843,0.004114962182939053,0.7789477109909058
2017-03-14,0.6838424205780029,0.00375107629224658,0.3124065101146698
2017-03-15,0.4914323389530182,0.006207111291587353,0.5023605227470398
2017-03-16,0.0013115491019561887,0.0006051885429769754,0.9980833530426025
2017-03-17,0.022889671847224236,0.0013392186956480145,0.9757711291313171
2017-03-20,0.2642195522785187,0.021397920325398445,0.714382529258728
2017-03-21,0.7484399080276489,0.007700692862272263,0.2438593953847885
2017-03-22,0.5925025343894958,0.050074223428964615,0.35742318630218506
2017-03-23,0.7962108254432678,0.01669069565832615,0.18709850311279297
2017-03-24,0.6852529644966125,0.003837078809738159,0.3109099268913269
2017-03-27,0.0471145436167717,0.017284439876675606,0.9356011152267456
2017-03-28,0.022297494113445282,0.04765218123793602,0.930050253868103
2017-03-29,0.056905534118413925,0.17087231576442719,0.772222101688385
2017-03-30,0.06135100498795509,0.5701698064804077,0.3684791326522827
2017-03-31,0.27887940406799316,0.4208398461341858,0.3002808094024658
2017-04-05,0.13320036232471466,0.7082181572914124,0.15858152508735657
2017-04-06,0.31995436549186707,0.523495078086853,0.15655051171779633
2017-04-07,0.03433753177523613,0.8647259473800659,0.10093653947114944
2017-04-10,6.279644003370777e-05,3.320536052342504e-05,0.9999039173126221
2017-04-11,6.049043804523535e-06,2.3705491969394643e-07,0.9999936819076538
2017-04-12,6.3207708080881275e-06,5.493740786732815e-07,0.999993085861206
2017-04-13,5.753613368142396e-05,1.643935320316814e-05,0.999925971031189
2017-04-14,5.193917968426831e-05,2.306350324943196e-05,0.9999250173568726
2017-04-17,6.059688166715205e-05,7.072510925354436e-05,0.9998687505722046
2017-04-18,0.00015946997154969722,2.053782736766152e-05,0.9998200535774231
2017-04-19,0.001703320536762476,4.3815280150738545e-06,0.9982922673225403
2017-04-20,0.005053602624684572,1.4117799764790107e-06,0.9949449896812439
2017-04-21,0.016865313053131104,4.942875875713071e-06,0.9831297993659973
2017-04-24,0.07964203506708145,0.000171027219039388,0.9201869368553162
2017-04-25,0.014928341843187809,0.0027212623972445726,0.9823503494262695
2017-04-26,0.004089003894478083,0.009975106455385685,0.9859359264373779
2017-04-27,0.003118011401966214,0.011840417049825191,0.9850415587425232
2017-04-28,0.0021404470317065716,0.013430031016469002,0.9844295978546143
2017-05-02,0.0102229043841362,0.007179046515375376,0.9825980067253113
2017-05-03,0.012094820849597454,0.012999804690480232,0.9749054312705994
2017-05-04,0.004310874734073877,0.0010164931882172823,0.9946725964546204
2017-05-05,0.006401222199201584,0.0007471382268704474,0.9928515553474426
2017-05-08,0.02791111171245575,0.0022689446341246367,0.9698198437690735
2017-05-09,0.2291974127292633,0.005372690502554178,0.7654299139976501
2017-05-10,0.6538537740707397,0.0033347110729664564,0.34281155467033386
2017-05-11,0.00041177868843078613,0.0003027631901204586,0.9992853999137878
2017-05-12,0.0015786424046382308,0.043890297412872314,0.9545310735702515
2017-05-15,0.0027989521622657776,0.2904033660888672,0.70679771900177
2017-05-16,0.02396288514137268,0.5528884530067444,0.4231486916542053
2017-05-17,0.062185175716876984,0.879994809627533,0.057819996029138565
2017-05-18,0.17545823752880096,0.5811547040939331,0.24338702857494354
2017-05-19,0.17134323716163635,0.33720919489860535,0.4914475083351135
2017-05-22,0.021570853888988495,0.4526781439781189,0.5257510542869568
2017-05-23,0.0026373586151748896,0.9527985453605652,0.04456402361392975
2017-05-24,0.006261028815060854,0.3364761769771576,0.6572628021240234
2017-05-25,0.000803393661044538,0.9829422235488892,0.016254376620054245
2017-05-26,8.999010606203228e-05,0.9961054921150208,0.0038044590037316084
2017-05-31,0.00024144847702700645,0.9867364764213562,0.013022001832723618
2017-06-01,0.6068540811538696,0.18804697692394257,0.20509888231754303
2017-06-02,0.9972572922706604,0.00014673346595373005,0.0025960211642086506
